ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	IncLevel1	IncLevel2	IncLevelDifference
6	0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,2,0,5,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	283	269	NA,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA	NA,1.0,NA,NA,NA,NA,NA,1.0,NA,1.0,0.487,NA,NA,NA,NA,NA	0.128
9	0,0,0,0,2,2,2,2,0,0,15,11,0,2,1,4	0,0,0,0,5,0,0,1,0,0,2,0,0,1,0,0	0,0,0,0,4,4,1,1,0,4,10,4,0,5,1,13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	304	269	NA,NA,NA,NA,0.261,1.0,1.0,0.639,NA,NA,0.869,1.0,NA,0.639,1.0,1.0	NA,NA,NA,NA,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,NA,1.0,1.0,1.0	-0.177
16	1,2,0,0,0,4,0,6,1,5,6,89,0,4,0,4	1,3,1,3,12,4,0,14,5,17,22,102,2,14,0,14	0,1,0,0,18,2,0,15,0,18,26,21,0,16,2,26	0,5,3,3,52,8,0,24,3,19,53,37,0,66,0,57	271	269	0.498,0.398,0.0,0.0,0.0,0.498,NA,0.298,0.166,0.226,0.213,0.464,0.0,0.221,NA,0.221	NA,0.166,0.0,0.0,0.256,0.199,NA,0.383,0.0,0.485,0.327,0.36,NA,0.194,1.0,0.312	-0.054
19	0,3,1,8,12,5,1,10,5,33,16,24,1,33,7,8	0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1	5,0,0,5,10,3,4,11,13,30,23,13,0,18,7,22	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	312	269	NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.812,1.0,0.821,1.0,1.0,1.0,1.0,0.873	1.0,NA,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0	-0.033
20	268,1062,1217,601,1084,883,248,939,1164,787,2229,974,60,938,517,872	15,76,56,38,90,46,15,51,61,61,137,51,1,64,28,55	303,1327,1108,777,941,811,219,799,699,965,2081,913,77,786,450,888	16,70,64,39,46,45,25,52,26,113,131,39,0,33,28,40	272	269	0.946,0.933,0.956,0.94,0.923,0.95,0.942,0.948,0.95,0.927,0.941,0.95,0.983,0.935,0.948,0.94	0.949,0.949,0.945,0.952,0.953,0.947,0.897,0.938,0.964,0.894,0.94,0.959,1.0,0.959,0.941,0.956	-0.002
21	0,2,0,0,0,0,1,0,0,0,5,2,0,1,1,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,0,0,1,0,0,6,0,4,7,0,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0	272	269	NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,1.0	NA,1.0,NA,NA,NA,1.0,NA,NA,1.0,NA,0.497,1.0,NA,NA,NA,NA	0.101
22	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1	0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	271	269	NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249,NA,NA,NA,0.0	NA,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,1.0	-0.875
24	0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0	300	269	NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,NA,NA,0.0,NA,NA,NA	NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,0.0,NA	0.333
25	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,3,19,0,0,0,0,0,3	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3	318	269	NA,NA,NA,NA,NA,0.458,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,0.0	NA,NA,NA,NA,1.0,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,NA,0.0	-0.136
26	0,0,0,0,0,0,2,0,0,0,1,1,0,2,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0	0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0	301	269	NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,1.0,1.0,NA	NA,0.0,NA,0.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.5
