ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	IncLevel1	IncLevel2	IncLevelDifference
0	0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0	0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0	0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0	0,2,0,2,0,1,0,0,3,0,0,0,0,2,0,3	302	269	NA,0.471,0.0,0.129,1.0,0.0,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA	NA,0.0,1.0,0.69,NA,0.728,NA,NA,0.0,NA,NA,NA,NA,0.0,NA,0.0	0.088
2	0,1,10,16,2,4,0,1,14,11,0,2,0,13,0,6	0,0,0,2,0,2,0,0,11,0,0,0,0,2,0,0	2,9,0,25,2,8,0,0,13,0,0,0,6,4,0,7	1,0,0,13,1,6,0,1,1,3,0,0,0,0,0,5	302	269	NA,1.0,1.0,0.877,1.0,0.64,NA,1.0,0.531,1.0,NA,1.0,NA,0.853,NA,1.0	0.64,1.0,NA,0.631,0.64,0.543,NA,0.0,0.921,0.0,NA,NA,1.0,1.0,NA,0.555	0.27
6	0,2,1,6,1,5,0,1,13,11,4,15,0,10,1,4	2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0	0,4,0,2,5,4,1,3,13,12,7,0,0,12,0,17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	347	269	0.0,1.0,0.437,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.608,1.0,NA,1.0,1.0,1.0	NA,1.0,NA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0	-0.197
7	0,0,0,0,1,0,0,0,3,0,0,0,5,0,48,6	0,1,0,0,3,10,0,0,0,0,0,1,11,0,101,0	0,0,0,2,0,10,0,0,0,0,0,0,5,0,35,0	0,0,1,2,1,15,0,0,4,2,0,0,4,1,67,0	284	269	NA,0.0,NA,NA,0.24,0.0,NA,NA,1.0,NA,NA,0.0,0.301,NA,0.31,1.0	NA,NA,0.0,0.486,0.0,0.387,NA,NA,0.0,0.0,NA,NA,0.542,0.0,0.331,NA	0.162
8	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,22,18,12,16,15,5,14,15,7,29,36,0,10,3,9	0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0	0,11,18,13,17,12,11,14,3,6,20,13,1,10,3,20	273	269	NA,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0	NA,0.0,0.052,0.0,0.0,0.076,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	-0.011
9	0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	386	269	NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	1.0
11	0,3,1,1,2,4,4,0,1,12,5,8,0,9,2,7	0,4,4,0,2,7,0,0,3,1,1,0,0,1,0,6	0,2,5,3,1,4,2,0,0,1,8,3,1,2,1,2	0,3,5,1,0,3,2,0,0,3,1,4,0,0,2,2	273	269	NA,0.425,0.198,1.0,0.496,0.36,1.0,NA,0.247,0.922,0.831,1.0,NA,0.899,1.0,0.535	NA,0.396,0.496,0.747,1.0,0.568,0.496,NA,NA,0.247,0.887,0.425,1.0,1.0,0.33,0.496	0.063
13	0,9,0,2,1,2,1,0,0,4,0,16,1,3,1,1	1,3,0,1,0,0,0,2,0,0,5,12,0,1,0,2	0,1,1,0,0,0,0,1,1,1,2,1,0,2,1,1	0,1,0,0,2,3,0,1,1,1,0,2,0,2,1,11	329	269	0.0,0.71,NA,0.621,1.0,1.0,1.0,0.0,NA,1.0,0.0,0.522,1.0,0.71,1.0,0.29	NA,0.45,1.0,NA,0.0,0.0,NA,0.45,0.45,0.45,1.0,0.29,NA,0.45,0.45,0.069	0.211
14	0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	275	269	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA	NA,NA,NA,NA,0.0,NA,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA	0.333
15	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	278	269	NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA,NA,NA,NA,NA,NA,NA	NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	-0.5
