ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0	0,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0	0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0	0,2,0,2,0,1,0,0,3,0,0,0,0,2,0,3	301	269
2	0,1,10,16,2,4,0,1,14,11,0,2,0,13,0,6	0,0,0,2,0,2,0,0,11,0,0,0,0,2,0,0	2,9,0,25,2,8,0,0,13,0,0,0,6,4,0,7	1,0,0,13,1,6,0,1,1,3,0,0,0,0,0,5	301	269
6	0,2,1,6,1,5,0,1,13,11,4,15,0,10,1,4	2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0	0,4,0,2,5,4,1,3,13,12,7,0,0,12,0,17	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	346	269
7	0,0,0,0,1,0,0,0,3,0,0,0,5,0,48,6	0,1,0,0,3,10,0,0,0,0,0,1,11,0,101,0	0,0,0,2,0,10,0,0,0,0,0,0,5,0,35,0	0,0,1,2,1,15,0,0,4,2,0,0,4,1,67,0	283	269
8	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,22,18,12,16,15,5,14,15,7,29,36,0,10,3,9	0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0	0,11,18,13,17,12,11,14,3,6,20,13,1,10,3,20	272	269
9	0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	385	269
11	0,3,1,1,2,4,4,0,1,12,5,8,0,9,2,7	0,4,4,0,2,7,0,0,3,1,1,0,0,1,0,6	0,2,5,3,1,4,2,0,0,1,8,3,1,2,1,2	0,3,5,1,0,3,2,0,0,3,1,4,0,0,2,2	272	269
13	0,9,0,2,1,2,1,0,0,4,0,16,1,3,1,1	1,3,0,1,0,0,0,2,0,0,5,12,0,1,0,2	0,1,1,0,0,0,0,1,1,1,2,1,0,2,1,1	0,1,0,0,2,3,0,1,1,1,0,2,0,2,1,11	328	269
14	0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	274	269
15	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	277	269
16	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	277	269
18	0,4,7,5,10,4,2,2,6,7,26,15,0,22,1,31	0,2,2,1,11,9,0,1,8,17,8,18,0,15,3,18	0,3,13,3,9,13,3,4,4,17,20,8,0,17,4,32	0,5,8,2,11,11,1,6,5,4,8,8,0,1,4,15	362	269
