ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	394	269
4	0,0,0,0,0,5,0,1,0,0,2,9,0,0,0,2	0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,1	0,0,0,0,1,1,0,0,0,1,1,2,0,1,0,2	0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0	373	269
5	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,2,4,0,0,2,18,0,0,1,11,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0	0,0,1,0,1,1,21,0,0,1,13,0,0,3,0,3	538	269
6	0,0,0,0,1,2,0,1,2,1,1,1,0,4,5,8	0,7,7,3,22,0,3,10,22,18,13,23,2,37,21,32	0,0,0,0,4,1,0,3,2,6,2,2,0,6,7,10	2,5,19,7,10,3,3,17,50,15,2,3,2,27,20,32	538	269
11	0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0	0,8,9,9,15,8,5,7,7,17,9,38,0,60,10,3	2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0	1,9,6,14,15,8,2,3,9,6,14,16,0,33,8,7	397	269
20	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1	215,977,1196,483,842,347,324,697,1506,672,1728,658,72,1059,315,834	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	632,1055,1089,740,575,297,271,571,790,471,1524,490,59,574,338,527	538	269
21	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,35,7,18,3,6,13,0,3,19,28,1,280,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,54,4,13,8,24,7,0,1,7,19,4,195,1	538	269
23	0,3,5,85,15,95,3,8,16,0,0,9,0,22,18,1	0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0	3,2,11,108,11,69,4,19,40,0,0,6,0,5,21,3	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	402	269
24	0,1,0,1,0,1,0,0,0,0,2,2,0,0,0,0	0,3,2,0,0,4,0,3,1,0,1,0,0,0,4,0	0,0,6,0,0,1,0,0,0,0,2,0,0,1,0,0	2,3,4,6,3,4,0,1,5,0,9,0,0,2,0,0	436	269
27	0,1,1,0,2,2,0,3,1,3,2,7,0,3,0,4	0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0	0,0,0,1,8,0,0,0,2,2,2,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0	538	269
