ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
6	0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,2,0,0,0,0,0,2,0,5,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	284	269
9	0,0,0,0,2,2,2,2,0,0,15,11,0,2,1,4	0,0,0,0,5,0,0,1,0,0,2,0,0,1,0,0	0,0,0,0,4,4,1,1,0,4,10,4,0,5,1,13	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	305	269
16	1,2,0,0,0,4,0,6,1,5,6,89,0,4,0,4	1,3,1,3,12,4,0,14,5,17,22,102,2,14,0,14	0,1,0,0,18,2,0,15,0,18,26,21,0,16,2,26	0,5,3,3,52,8,0,24,3,19,53,37,0,66,0,57	272	269
19	0,3,1,8,12,5,1,10,5,33,16,24,1,33,7,8	0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1	5,0,0,5,10,3,4,11,13,30,23,13,0,18,7,22	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	313	269
20	268,1062,1217,601,1084,883,248,939,1164,787,2229,974,60,938,517,872	15,76,56,38,90,46,15,51,61,61,137,51,1,64,28,55	303,1327,1108,777,941,811,219,799,699,965,2081,913,77,786,450,888	16,70,64,39,46,45,25,52,26,113,131,39,0,33,28,40	273	269
21	0,2,0,0,0,0,1,0,0,0,5,2,0,1,1,3	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,3,0,0,0,1,0,0,6,0,4,7,0,0,0,0	0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0	273	269
22	0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1	0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	272	269
24	0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0	301	269
25	0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,3,19,0,0,0,0,0,3	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,3	319	269
26	0,0,0,0,0,0,2,0,0,0,1,1,0,2,1,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0	0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0	302	269
27	0,0,0,0,2,1,0,3,0,0,3,1,0,4,0,1	0,0,0,0,3,0,0,1,0,0,1,3,0,4,0,0	0,0,0,0,7,0,0,0,5,0,0,0,0,4,1,3	0,0,0,0,2,2,0,1,0,0,5,0,0,7,0,1	272	269
