ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	IncLevel1	IncLevel2	IncLevelDifference
0	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	395	269	NA,0.0,NA,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA	0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0	0.203
4	0,0,0,0,0,5,0,1,0,0,2,9,0,0,0,2	0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,1	0,0,0,0,1,1,0,0,0,1,1,2,0,1,0,2	0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0	374	269	NA,0.0,NA,NA,NA,0.782,NA,1.0,0.0,NA,1.0,0.564,NA,NA,NA,0.59	NA,NA,NA,NA,0.265,1.0,NA,NA,NA,1.0,1.0,0.418,NA,1.0,NA,1.0	-0.25
5	0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0	0,2,4,0,0,2,18,0,0,1,11,0,0,0,0,0	0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0	0,0,1,0,1,1,21,0,0,1,13,0,0,3,0,3	2214	269	NA,0.0,0.0,NA,NA,0.0,0.007,NA,NA,0.0,0.0,NA,NA,NA,NA,NA	NA,NA,0.0,NA,0.0,0.0,0.011,NA,NA,0.0,0.0,NA,NA,0.0,NA,0.0	-0.0
6	0,0,0,0,1,2,0,1,2,1,1,1,0,4,5,8	0,7,7,3,22,0,3,10,22,18,13,23,2,37,21,32	0,0,0,0,4,1,0,3,2,6,2,2,0,6,7,10	2,5,19,7,10,3,3,17,50,15,2,3,2,27,20,32	1380	269	NA,0.0,0.0,0.0,0.009,1.0,0.0,0.019,0.017,0.011,0.015,0.008,0.0,0.021,0.044,0.046	0.0,0.0,0.0,0.0,0.072,0.061,0.0,0.033,0.008,0.072,0.163,0.115,0.0,0.042,0.064,0.057	0.036
11	0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0	0,8,9,9,15,8,5,7,7,17,9,38,0,60,10,3	2,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0	1,9,6,14,15,8,2,3,9,6,14,16,0,33,8,7	398	269	NA,0.0,0.07,0.07,0.0,0.078,0.0,0.0,0.0,0.0,0.07,0.0,NA,0.0,0.0,0.0	0.575,0.07,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.046,0.0,NA,0.02,0.0,0.0	-0.04
20	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1	215,977,1196,483,842,347,324,697,1506,672,1728,658,72,1059,315,834	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	632,1055,1089,740,575,297,271,571,790,471,1524,490,59,574,338,527	767	269	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0
21	0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0	0,0,0,35,7,18,3,6,13,0,3,19,28,1,280,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,54,4,13,8,24,7,0,1,7,19,4,195,1	638	269	NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.002,NA	0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,0.0,0.0,0.0	0.0
23	0,3,5,85,15,95,3,8,16,0,0,9,0,22,18,1	0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0	3,2,11,108,11,69,4,19,40,0,0,6,0,5,21,3	0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0	403	269	NA,1.0,1.0,0.983,1.0,0.984,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,1.0,1.0	1.0,1.0,1.0,0.973,1.0,1.0,1.0,1.0,1.0,NA,NA,1.0,NA,1.0,1.0,1.0	-0.001
24	0,1,0,1,0,1,0,0,0,0,2,2,0,0,0,0	0,3,2,0,0,4,0,3,1,0,1,0,0,0,4,0	0,0,6,0,0,1,0,0,0,0,2,0,0,1,0,0	2,3,4,6,3,4,0,1,5,0,9,0,0,2,0,0	437	269	NA,0.17,0.0,1.0,NA,0.133,NA,0.0,0.0,NA,0.552,1.0,NA,NA,0.0,NA	0.0,0.0,0.48,0.0,0.0,0.133,NA,0.0,0.0,NA,0.12,NA,NA,0.235,NA,NA	0.22
27	0,1,1,0,2,2,0,3,1,3,2,7,0,3,0,4	0,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0	0,0,0,1,8,0,0,0,2,2,2,0,0,0,0,2	0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0	727	269	NA,0.27,1.0,NA,1.0,1.0,NA,1.0,0.27,1.0,0.198,0.463,NA,1.0,NA,1.0	NA,NA,NA,1.0,1.0,NA,NA,NA,1.0,1.0,0.27,0.0,NA,NA,NA,1.0	-0.007
