ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000000346.10"	"Dazap2"	chr15	+	100514793	100514912	100513229	100513605	100515805	100516051
1	"ENSMUSG00000115317.3"	"Gm32618"	chr15	+	32793709	32793756	32779040	32779576	32795266	32796152
2	"ENSMUSG00000096916.8"	"Zfp850"	chr7	-	27711760	27711875	27707808	27707861	27713440	27713540
3	"ENSMUSG00000097378.10"	"B230208H11Rik"	chr10	-	12798109	12798202	12797352	12797461	12798317	12798834
4	"ENSMUSG00000026102.10"	"Inpp1"	chr1	-	52830846	52831021	52824585	52829376	52833628	52833829
5	"ENSMUSG00000026102.10"	"Inpp1"	chr1	-	52836199	52836260	52833628	52833829	52838443	52838695
8	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27342844	27343086	27340268	27340561	27346920	27347049
10	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27344324	27344516	27342844	27343086	27346920	27347049
11	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27346920	27347049	27344324	27344516	27349468	27349840
12	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27349468	27349840	27346920	27347049	27351540	27351755
13	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27351540	27351755	27349468	27349840	27352432	27352580
14	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27352432	27352580	27349468	27349840	27353466	27353604
15	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27353466	27353604	27352432	27352580	27353900	27354128
16	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27353900	27354205	27352432	27352580	27365588	27365685
17	"ENSMUSG00000024191.16"	"Bnip1"	chr17	+	27002418	27002511	27000039	27000150	27008668	27008770
18	"ENSMUSG00000024191.16"	"Bnip1"	chr17	+	27005670	27005762	27002418	27002511	27008668	27008770
20	"ENSMUSG00000022947.9"	"Cbr3"	chr16	+	93481934	93482042	93480102	93480501	93487215	93487878
21	"ENSMUSG00000117869.2"	"Snhg4"	chr18	+	35687479	35687514	35686423	35686522	35689668	35689744
22	"ENSMUSG00000027304.10"	"Rtf1"	chr2	+	119522596	119522707	119505548	119505761	119531598	119531746
23	"ENSMUSG00000027304.10"	"Rtf1"	chr2	+	119531598	119531746	119522596	119522707	119535919	119536124
24	"ENSMUSG00000068457.15"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891
25	"ENSMUSG00000068457.15"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871
27	"ENSMUSG00000068457.15"	"Uty"	chrY	-	1197205	1197326	1189335	1189390	1199454	1199513
28	"ENSMUSG00000068457.15"	"Uty"	chrY	-	1224496	1224546	1199454	1199513	1245155	1245216
29	"ENSMUSG00000068457.15"	"Uty"	chrY	-	1239710	1239819	1224496	1224546	1245155	1245216
