ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSMUSG00000063188.5"	"Olfr107"	chr17	+	37714524	37718368	37714767	37718368	37713167	37713251
1	"ENSMUSG00000063188.5"	"Olfr107"	chr17	+	37714524	37718368	37716022	37718368	37713167	37713251
2	"ENSMUSG00000063188.5"	"Olfr107"	chr17	+	37714524	37718368	37716258	37718368	37713167	37713251
3	"ENSMUSG00000063188.5"	"Olfr107"	chr17	+	37714767	37718368	37716022	37718368	37713167	37713251
4	"ENSMUSG00000063188.5"	"Olfr107"	chr17	+	37714767	37718368	37716258	37718368	37713167	37713251
5	"ENSMUSG00000063188.5"	"Olfr107"	chr17	+	37716022	37718368	37716258	37718368	37713167	37713251
6	"ENSMUSG00000029635.16"	"Cdk8"	chr5	+	146229433	146229577	146229448	146229577	146222917	146223049
7	"ENSMUSG00000026227.12"	"2810459M11Rik"	chr1	+	85976309	85976423	85976312	85976423	85973584	85974294
8	"ENSMUSG00000079298.10"	"Klrb1b"	chr6	-	128795875	128796030	128795875	128795958	128797227	128797299
9	"ENSMUSG00000036819.15"	"Jmjd4"	chr11	+	59344617	59344885	59344653	59344885	59344336	59344471
10	"ENSMUSG00000091151.3"	"Vmn1r224"	chr17	+	20639289	20645605	20639608	20645605	20636701	20636795
11	"ENSMUSG00000091151.3"	"Vmn1r224"	chr17	+	20639289	20645605	20640023	20645605	20636701	20636795
12	"ENSMUSG00000091151.3"	"Vmn1r224"	chr17	+	20639289	20645605	20640026	20645605	20636701	20636795
13	"ENSMUSG00000091151.3"	"Vmn1r224"	chr17	+	20639608	20645605	20640023	20645605	20636701	20636795
14	"ENSMUSG00000091151.3"	"Vmn1r224"	chr17	+	20639608	20645605	20640026	20645605	20636701	20636795
15	"ENSMUSG00000091151.3"	"Vmn1r224"	chr17	+	20640023	20645605	20640026	20645605	20636701	20636795
16	"ENSMUSG00000020918.15"	"Kat2a"	chr11	-	100599671	100599811	100599671	100599808	100599901	100600003
17	"ENSMUSG00000021090.17"	"Lrrc9"	chr12	+	72510606	72510724	72510609	72510724	72510098	72510275
18	"ENSMUSG00000043019.13"	"Edem3"	chr1	+	151681597	151681697	151681600	151681697	151680415	151680570
