ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52386672	52387088	52386672	52386830	52386956	52387088
3	"ENSMUSG00000060550.17"	"H2-Q7"	chr17	+	35661653	35661770	35661653	35661703	35661707	35661770
10	"ENSMUSG00000024818.16"	"Slc25a45"	chr19	+	5934372	5935794	5934372	5934631	5934750	5935794
20	"ENSMUSG00000038412.9"	"Higd1a"	chr9	-	121677628	121679388	121677628	121678755	121679253	121679388
23	"ENSMUSG00000000318.17"	"Clec10a"	chr11	+	70061243	70061659	70061243	70061296	70061430	70061659
27	"ENSMUSG00000041774.17"	"Ydjc"	chr16	+	16965461	16966710	16965461	16965561	16966019	16966710
42	"ENSMUSG00000057246.17"	"BC051142"	chr17	+	34678836	34679708	34678836	34679093	34679167	34679708
49	"ENSMUSG00000034116.18"	"Vav1"	chr17	+	57586099	57586401	57586099	57586284	57586356	57586401
54	"ENSMUSG00000070315.14"	"4930581F22Rik"	chr9	+	35028664	35029642	35028664	35028728	35029494	35029642
56	"ENSMUSG00000073422.12"	"H2-Ke6"	chr17	-	34245006	34245444	34245006	34245199	34245369	34245444
62	"ENSMUSG00000068264.12"	"Ap5s1"	chr2	+	131054366	131055434	131054366	131054656	131054745	131055434
67	"ENSMUSG00000045031.19"	"Cetn4"	chr3	-	37364441	37366595	37364441	37364588	37366505	37366595
69	"ENSMUSG00000038619.13"	"Ensa"	chr3	+	95535851	95539413	95535851	95536018	95538742	95539413
79	"ENSMUSG00000021838.18"	"Samd4"	chr14	+	47121855	47122473	47121855	47122247	47122455	47122473
91	"ENSMUSG00000024160.17"	"Spsb3"	chr17	+	25109806	25110110	25109806	25109909	25109984	25110110
96	"ENSMUSG00000047394.10"	"Odf3b"	chr15	-	89261651	89262075	89261651	89261792	89261934	89262075
111	"ENSMUSG00000028849.18"	"Map7d1"	chr4	-	126130688	126131071	126130688	126130852	126130948	126131071
115	"ENSMUSG00000038344.15"	"Txlng"	chrX	-	161594287	161594591	161594287	161594384	161594531	161594591
124	"ENSMUSG00000030409.17"	"Dmpk"	chr7	+	18821925	18822189	18821925	18822034	18822112	18822189
129	"ENSMUSG00000005506.17"	"Celf1"	chr2	+	90843582	90849842	90843582	90843747	90843835	90849842
130	"ENSMUSG00000005506.17"	"Celf1"	chr2	+	90843582	90849842	90843582	90843747	90846910	90849842
144	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158202862	158203116	158202862	158202990	158203080	158203116
145	"ENSMUSG00000085385.9"	"Snhg17"	chr2	-	158202862	158203442	158202862	158203116	158203324	158203442
146	"ENSMUSG00000019738.16"	"Polr2i"	chr7	+	29931756	29931961	29931756	29931829	29931906	29931961
155	"ENSMUSG00000025144.18"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120602669	120602721
172	"ENSMUSG00000002109.15"	"Ddb2"	chr2	-	91064452	91065296	91064452	91064644	91065159	91065296
179	"ENSMUSG00000051811.15"	"Cox6b2"	chr7	-	4755722	4756022	4755722	4755848	4755951	4756022
181	"ENSMUSG00000046519.16"	"Golph3l"	chr3	+	95524354	95526558	95524354	95524553	95525173	95526558
185	"ENSMUSG00000005514.15"	"Por"	chr5	+	135763236	135763560	135763236	135763382	135763474	135763560
186	"ENSMUSG00000059208.16"	"Hnrnpm"	chr17	-	33885467	33885659	33885467	33885503	33885620	33885659
192	"ENSMUSG00000021488.9"	"Nsd1"	chr13	+	55361016	55361963	55361016	55361130	55361873	55361963
193	"ENSMUSG00000121500.1"	"ENSMUSG00000121500"	chr11	+	3078928	3079520	3078928	3079118	3079381	3079520
203	"ENSMUSG00000040370.14"	"Etfrf1"	chr6	+	145160247	145160997	145160247	145160271	145160490	145160997
204	"ENSMUSG00000040370.14"	"Etfrf1"	chr6	+	145160247	145160997	145160247	145160510	145160909	145160997
205	"ENSMUSG00000121504.1"	"Ppp4r1l-ps"	chr2	-	173457275	173458216	173457275	173457369	173458147	173458216
212	"ENSMUSG00000053907.11"	"Mat2a"	chr6	-	72409781	72412097	72409781	72411378	72411963	72412097
213	"ENSMUSG00000033436.14"	"Armcx2"	chrX	-	133708202	133708474	133708202	133708262	133708369	133708474
221	"ENSMUSG00000036073.19"	"Galt"	chr4	+	41758083	41758695	41758083	41758238	41758502	41758695
222	"ENSMUSG00000029860.17"	"Zyx"	chr6	+	42334785	42335326	42334785	42334919	42335102	42335326
223	"ENSMUSG00000053877.13"	"Srcap"	chr7	+	127118752	127119004	127118752	127118774	127118831	127119004
224	"ENSMUSG00000053877.13"	"Srcap"	chr7	+	127120647	127120833	127120647	127120731	127120732	127120833
232	"ENSMUSG00000094870.9"	"Zfp131"	chr13	-	120237302	120237985	120237302	120237525	120237627	120237985
233	"ENSMUSG00000058407.13"	"Txndc9"	chr1	-	38026474	38029538	38026474	38026860	38029283	38029538
234	"ENSMUSG00000075028.13"	"Prdm11"	chr2	-	92802362	92806206	92802362	92804527	92805594	92806206
240	"ENSMUSG00000054589.3"	"Gm9949"	chr18	+	62324474	62325272	62324474	62324556	62325159	62325272
241	"ENSMUSG00000002625.11"	"Akap8l"	chr17	-	32557244	32557488	32557244	32557328	32557430	32557488
242	"ENSMUSG00000037339.18"	"Fam53a"	chr5	-	33757699	33765571	33757699	33758224	33764807	33765571
244	"ENSMUSG00000022756.18"	"Slc7a4"	chr16	-	17392815	17393829	17392815	17392865	17393480	17393829
257	"ENSMUSG00000044966.5"	"Fbxo48"	chr11	+	16903141	16903681	16903141	16903253	16903348	16903681
258	"ENSMUSG00000037720.17"	"Tmem33"	chr5	+	67443438	67448804	67443438	67443559	67444352	67448804
260	"ENSMUSG00000022967.14"	"Ifnar1"	chr16	+	91301942	91304329	91301942	91302302	91303414	91304329
268	"ENSMUSG00000070424.13"	"Art5"	chr7	-	101746987	101747717	101746987	101747141	101747422	101747717
269	"ENSMUSG00000070424.13"	"Art5"	chr7	-	101746987	101747717	101746987	101747141	101747435	101747717
285	"ENSMUSG00000047215.15"	"Rpl9"	chr5	-	65545706	65546494	65545706	65545784	65546413	65546494
298	"ENSMUSG00000040434.17"	"Large2"	chr2	-	92200910	92201238	92200910	92201008	92201083	92201238
299	"ENSMUSG00000108414.3"	"Snhg1"	chr19	+	8702377	8702620	8702377	8702410	8702585	8702620
302	"ENSMUSG00000038812.17"	"Trmt112"	chr19	+	6887951	6888396	6887951	6888041	6888119	6888396
307	"ENSMUSG00000120129.1"	"ENSMUSG00000120129"	chr8	+	112248947	112249231	112248947	112249017	112249155	112249231
310	"ENSMUSG00000001632.17"	"Brpf1"	chr6	+	113298689	113299047	113298689	113298826	113298928	113299047
321	"ENSMUSG00000028034.16"	"Fubp1"	chr3	+	151938031	151942463	151938031	151940207	151942243	151942463
322	"ENSMUSG00000079563.11"	"Pglyrp2"	chr17	-	32636954	32637962	32636954	32637254	32637404	32637962
324	"ENSMUSG00000035629.20"	"Rubcn"	chr16	-	32663367	32663901	32663367	32663558	32663600	32663901
327	"ENSMUSG00000020661.16"	"Dnmt3a"	chr12	+	3957605	3964443	3957605	3957786	3961275	3964443
355	"ENSMUSG00000020926.17"	"Adam11"	chr11	+	102668456	102671088	102668456	102668474	102668956	102671088
356	"ENSMUSG00000031736.13"	"Crnde"	chr8	-	93072977	93073546	93072977	93073091	93073411	93073546
359	"ENSMUSG00000078350.12"	"Smim1"	chr4	-	154108523	154110078	154108523	154108650	154109960	154110078
360	"ENSMUSG00000078350.12"	"Smim1"	chr4	-	154108523	154110078	154108523	154108807	154109960	154110078
363	"ENSMUSG00000039988.15"	"Ankrd13c"	chr3	+	157653050	157653593	157653050	157653068	157653112	157653593
377	"ENSMUSG00000024622.9"	"Hmgxb3"	chr18	-	61290414	61290833	61290414	61290590	61290686	61290833
383	"ENSMUSG00000029326.14"	"Enoph1"	chr5	+	100215657	100216619	100215657	100215800	100216154	100216619
388	"ENSMUSG00000026866.18"	"Kynu"	chr2	+	43571360	43572734	43571360	43571523	43572255	43572734
389	"ENSMUSG00000038618.13"	"Rassf7"	chr7	+	140797798	140798081	140797798	140797930	140798002	140798081
399	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160863321	160863584	160863321	160863374	160863552	160863584
400	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160863321	160863584	160863321	160863382	160863552	160863584
401	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160864693	160864885	160864693	160864734	160864857	160864885
402	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160864857	160865117	160864857	160864885	160865074	160865117
403	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160864857	160865117	160864857	160864894	160865074	160865117
404	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160865074	160865607	160865074	160865117	160865564	160865607
405	"ENSMUSG00000053332.15"	"Gas5"	chr1	+	160865564	160865842	160865564	160865607	160865794	160865842
415	"ENSMUSG00000030591.18"	"Psmd8"	chr7	-	28873612	28874947	28873612	28874172	28874835	28874947
416	"ENSMUSG00000112071.3"	"5430401H09Rik"	chr12	-	32166067	32166419	32166067	32166206	32166352	32166419
417	"ENSMUSG00000112071.3"	"5430401H09Rik"	chr12	-	32166067	32166419	32166067	32166231	32166352	32166419
427	"ENSMUSG00000097195.12"	"Snhg5"	chr9	-	88403702	88404028	88403702	88403769	88403970	88404028
430	"ENSMUSG00000097195.12"	"Snhg5"	chr9	-	88404536	88404941	88404536	88404591	88404685	88404941
432	"ENSMUSG00000002107.19"	"Celf2"	chr2	-	6544515	6552024	6544515	6550486	6551852	6552024
433	"ENSMUSG00000002107.19"	"Celf2"	chr2	-	6544515	6552024	6544515	6551590	6551852	6552024
437	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945904	114946409	114945904	114945973	114946235	114946409
438	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945919	114946409	114945919	114946003	114946235	114946409
439	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945904	114946409	114945904	114945973	114946276	114946409
440	"ENSMUSG00000028716.16"	"Pdzk1ip1"	chr4	+	114945919	114946409	114945919	114946003	114946276	114946409
441	"ENSMUSG00000049606.17"	"Zfp644"	chr5	-	106783475	106786501	106783475	106784189	106784282	106786501
444	"ENSMUSG00000028102.16"	"Pex11b"	chr3	+	96550890	96552042	96550890	96551331	96551751	96552042
447	"ENSMUSG00000045411.17"	"2410002F23Rik"	chr7	+	43899732	43901736	43899732	43899764	43900036	43901736
452	"ENSMUSG00000037652.16"	"Phc3"	chr3	-	30990433	30991305	30990433	30990748	30990874	30991305
463	"ENSMUSG00000024610.16"	"Cd74"	chr18	+	60945223	60945718	60945223	60945437	60945494	60945718
468	"ENSMUSG00000079414.5"	"Gm11110"	chr17	-	57410349	57410484	57410349	57410460	57410461	57410484
473	"ENSMUSG00000079553.12"	"Kifc1"	chr17	-	34103562	34103960	34103562	34103655	34103715	34103960
509	"ENSMUSG00000024588.11"	"Fech"	chr18	-	64590335	64591785	64590335	64591288	64591725	64591785
513	"ENSMUSG00000035165.15"	"Kcne3"	chr7	+	99831888	99832281	99831888	99832030	99832198	99832281
