ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52386672	52387088	52386672	52386830	52386956	52387088
1	"ENSMUSG00000029503.17"	"P2rx2"	chr5	-	110487677	110488448	110487677	110488100	110488370	110488448
2	"ENSMUSG00000029503.17"	"P2rx2"	chr5	-	110487677	110488448	110487677	110488163	110488370	110488448
3	"ENSMUSG00000060550.17"	"H2-Q7"	chr17	+	35661653	35661770	35661653	35661703	35661707	35661770
4	"ENSMUSG00000028101.19"	"Pias3"	chr3	+	96606735	96607153	96606735	96606969	96607074	96607153
5	"ENSMUSG00000026080.15"	"Chst10"	chr1	-	38902947	38907167	38902947	38905116	38907061	38907167
6	"ENSMUSG00000033545.15"	"Znrf1"	chr8	+	112348227	112352662	112348227	112348319	112349430	112352662
7	"ENSMUSG00000081948.5"	"Olfr1191"	chr2	+	88471973	88472230	88471973	88471984	88472134	88472230
8	"ENSMUSG00000062154.15"	"Tex33"	chr15	-	78279874	78280112	78279874	78279967	78280042	78280112
9	"ENSMUSG00000097324.10"	"Carmn"	chr18	-	61784040	61785477	61784040	61785108	61785313	61785477
10	"ENSMUSG00000024818.16"	"Slc25a45"	chr19	+	5934372	5935794	5934372	5934631	5934750	5935794
11	"ENSMUSG00000037300.20"	"Ttc13"	chr8	-	125400186	125400474	125400186	125400266	125400395	125400474
12	"ENSMUSG00000073294.5"	"Ezhip"	chrX	-	5993272	5995473	5993272	5994829	5995192	5995473
13	"ENSMUSG00000059934.13"	"Prh1"	chr6	+	132548558	132549364	132548558	132548881	132548965	132549364
14	"ENSMUSG00000047935.18"	"Sox1ot"	chr8	+	12479506	12480038	12479506	12479968	12479969	12480038
15	"ENSMUSG00000070856.6"	"Olfr1115"	chr2	+	87080672	87084212	87080672	87081009	87082183	87084212
16	"ENSMUSG00000043855.8"	"Olfr479"	chr7	+	107653626	107655990	107653626	107653699	107654045	107655990
17	"ENSMUSG00000051747.16"	"Ttn"	chr2	-	76538791	76544556	76538791	76538941	76539097	76544556
18	"ENSMUSG00000051747.16"	"Ttn"	chr2	-	76538791	76544556	76538791	76538952	76539108	76544556
19	"ENSMUSG00000006216.11"	"Clcnkb"	chr4	-	141131663	141132150	141131663	141131943	141132063	141132150
20	"ENSMUSG00000038412.9"	"Higd1a"	chr9	-	121677628	121679388	121677628	121678755	121679253	121679388
21	"ENSMUSG00000107355.3"	"AI839979"	chr5	-	31726931	31728263	31726931	31727774	31728143	31728263
22	"ENSMUSG00000056883.6"	"Olfr533"	chr7	+	140045326	140048039	140045326	140045500	140045982	140048039
23	"ENSMUSG00000000318.17"	"Clec10a"	chr11	+	70061243	70061659	70061243	70061296	70061430	70061659
24	"ENSMUSG00000027381.17"	"Bcl2l11"	chr2	+	127970539	127970934	127970539	127970676	127970844	127970934
25	"ENSMUSG00000056938.17"	"Acbd4"	chr11	+	102994918	102994998	102994918	102994934	102994935	102994998
26	"ENSMUSG00000013033.17"	"Adgrl1"	chr8	+	84663825	84664186	84663825	84663954	84664089	84664186
27	"ENSMUSG00000041774.17"	"Ydjc"	chr16	+	16965461	16966710	16965461	16965561	16966019	16966710
28	"ENSMUSG00000092203.9"	"1110038B12Rik"	chr17	-	35169210	35169823	35169210	35169451	35169673	35169823
29	"ENSMUSG00000092203.9"	"1110038B12Rik"	chr17	-	35169673	35170901	35169673	35169823	35170860	35170901
30	"ENSMUSG00000092203.9"	"1110038B12Rik"	chr17	-	35170860	35171149	35170860	35170901	35171090	35171149
31	"ENSMUSG00000092203.9"	"1110038B12Rik"	chr17	-	35170860	35171149	35170860	35170901	35171111	35171149
32	"ENSMUSG00000025494.9"	"Sigirr"	chr7	-	140671087	140671905	140671087	140671414	140671715	140671905
33	"ENSMUSG00000002948.20"	"Map2k7"	chr8	+	4295694	4297897	4295694	4295825	4297656	4297897
34	"ENSMUSG00000035245.13"	"Eogt"	chr6	-	97124837	97125219	97124837	97124969	97125151	97125219
35	"ENSMUSG00000085615.4"	"A330035P11Rik"	chr14	-	122343195	122344395	122343195	122343582	122343690	122344395
36	"ENSMUSG00000097350.4"	"4732491K20Rik"	chr17	+	12543283	12544154	12543283	12543880	12544018	12544154
37	"ENSMUSG00000040856.18"	"Dlk1"	chr12	+	109425532	109429262	109425532	109425818	109425971	109429262
38	"ENSMUSG00000040856.18"	"Dlk1"	chr12	+	109425532	109429262	109425532	109425818	109426043	109429262
39	"ENSMUSG00000030800.11"	"Prss8"	chr7	-	127528969	127529276	127528969	127529085	127529228	127529276
40	"ENSMUSG00000030032.15"	"Wdr54"	chr6	-	83133156	83133379	83133156	83133227	83133296	83133379
41	"ENSMUSG00000057246.17"	"BC051142"	chr17	+	34640826	34640961	34640826	34640856	34640931	34640961
42	"ENSMUSG00000057246.17"	"BC051142"	chr17	+	34678836	34679708	34678836	34679093	34679167	34679708
43	"ENSMUSG00000021804.7"	"Rgr"	chr14	-	36756865	36760925	36756865	36760324	36760811	36760925
44	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109611695	109612719	109611695	109611765	109612280	109612719
45	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109612280	109613185	109612280	109612360	109613040	109613185
46	"ENSMUSG00000097451.12"	"Rian"	chr12	+	109616505	109617533	109616505	109616591	109617446	109617533
47	"ENSMUSG00000022639.16"	"Dubr"	chr16	-	50547236	50548572	50547236	50547361	50548254	50548572
48	"ENSMUSG00000020863.16"	"Luc7l3"	chr11	-	94181964	94184104	94181964	94183858	94183963	94184104
49	"ENSMUSG00000034116.18"	"Vav1"	chr17	+	57586099	57586401	57586099	57586284	57586356	57586401
50	"ENSMUSG00000116718.3"	"Gm49668"	chr17	-	15643507	15644705	15643507	15643583	15644545	15644705
51	"ENSMUSG00000097040.8"	"2610316D01Rik"	chr3	-	45234866	45235843	45234866	45234968	45235744	45235843
52	"ENSMUSG00000097040.8"	"2610316D01Rik"	chr3	-	45261531	45262093	45261531	45261555	45262068	45262093
53	"ENSMUSG00000100277.10"	"1810053B23Rik"	chr16	-	93143747	93144076	93143747	93143884	93144027	93144076
54	"ENSMUSG00000070315.14"	"4930581F22Rik"	chr9	+	35028664	35029642	35028664	35028728	35029494	35029642
55	"ENSMUSG00000026577.14"	"Blzf1"	chr1	-	164134715	164135058	164134715	164134923	164135010	164135058
56	"ENSMUSG00000073422.12"	"H2-Ke6"	chr17	-	34245006	34245444	34245006	34245199	34245369	34245444
57	"ENSMUSG00000006390.16"	"Elovl1"	chr4	+	118289094	118289810	118289094	118289629	118289734	118289810
58	"ENSMUSG00000078784.9"	"Rbis"	chr3	-	14671348	14672353	14671348	14671468	14672236	14672353
59	"ENSMUSG00000068860.6"	"Gm128"	chr3	-	95147260	95148909	95147260	95147422	95147905	95148909
60	"ENSMUSG00000006014.17"	"Prg4"	chr1	-	150329802	150332088	150329802	150330721	150331225	150332088
61	"ENSMUSG00000006014.17"	"Prg4"	chr1	-	150329802	150332088	150329802	150329871	150332001	150332088
62	"ENSMUSG00000068264.12"	"Ap5s1"	chr2	+	131054366	131055434	131054366	131054656	131054745	131055434
63	"ENSMUSG00000110981.2"	"Gm35940"	chr9	+	41743741	41749714	41743741	41747457	41749672	41749714
64	"ENSMUSG00000021661.17"	"Ankra2"	chr13	+	98409279	98410426	98409279	98409360	98409885	98410426
65	"ENSMUSG00000021661.17"	"Ankra2"	chr13	+	98409279	98410426	98409279	98409360	98410314	98410426
66	"ENSMUSG00000032185.16"	"Carm1"	chr9	+	21499146	21500763	21499146	21499215	21499344	21500763
67	"ENSMUSG00000045031.19"	"Cetn4"	chr3	-	37364441	37366595	37364441	37364588	37366505	37366595
68	"ENSMUSG00000094002.5"	"Gm9866"	chr12	-	27203315	27203604	27203315	27203373	27203517	27203604
69	"ENSMUSG00000038619.13"	"Ensa"	chr3	+	95535851	95539413	95535851	95536018	95538742	95539413
70	"ENSMUSG00000106306.5"	"4933401H06Rik"	chr3	-	135545391	135546030	135545391	135545595	135545867	135546030
71	"ENSMUSG00000086152.3"	"Gm11454"	chr2	+	162982755	162983124	162982755	162982945	162983051	162983124
72	"ENSMUSG00000025372.17"	"Baiap2"	chr11	+	119891377	119893447	119891377	119891412	119891899	119893447
73	"ENSMUSG00000022996.16"	"Wnt10b"	chr15	-	98672004	98672378	98672004	98672065	98672261	98672378
74	"ENSMUSG00000003545.4"	"Fosb"	chr7	-	19036626	19039227	19036626	19038931	19039071	19039227
75	"ENSMUSG00000016940.19"	"Kctd2"	chr11	+	115320105	115322100	115320105	115320231	115321138	115322100
76	"ENSMUSG00000048456.4"	"Olfr1448"	chr19	-	12898080	12898411	12898080	12898154	12898289	12898411
77	"ENSMUSG00000042745.10"	"Id1"	chr2	+	152578170	152579330	152578170	152578665	152578891	152579330
78	"ENSMUSG00000045013.8"	"Olfr711"	chr7	-	106568900	106573365	106568900	106571607	106573296	106573365
79	"ENSMUSG00000021838.18"	"Samd4"	chr14	+	47121855	47122473	47121855	47122247	47122455	47122473
80	"ENSMUSG00000026409.15"	"Pfkfb2"	chr1	-	130624753	130625822	130624753	130624822	130625642	130625822
81	"ENSMUSG00000028943.19"	"Espn"	chr4	-	152212525	152213010	152212525	152212789	152212864	152213010
82	"ENSMUSG00000028943.19"	"Espn"	chr4	-	152215225	152215751	152215225	152215418	152215508	152215751
83	"ENSMUSG00000100410.3"	"2310020H05Rik"	chr13	-	99215216	99215546	99215216	99215358	99215440	99215546
84	"ENSMUSG00000100410.3"	"2310020H05Rik"	chr13	-	99220151	99220432	99220151	99220183	99220335	99220432
85	"ENSMUSG00000002274.14"	"Metrn"	chr17	-	26013840	26014407	26013840	26014265	26014347	26014407
86	"ENSMUSG00000024128.14"	"Sbp"	chr17	+	24163980	24164577	24163980	24164080	24164533	24164577
87	"ENSMUSG00000086481.3"	"Gm11707"	chr11	-	106862640	106863762	106862640	106863333	106863608	106863762
88	"ENSMUSG00000051900.13"	"Abca16"	chr7	+	120038391	120038565	120038391	120038558	120038559	120038565
89	"ENSMUSG00000034739.18"	"Mfrp"	chr9	+	44017539	44019268	44017539	44018758	44019009	44019268
90	"ENSMUSG00000045752.14"	"Tssc4"	chr7	+	142623672	142624824	142623672	142624029	142624528	142624824
