ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSMUSG00000024909.16"	"Efemp2"	chr19	+	5527589	5527712	5527954	5528071	5526093	5526300	5528228	5528348
1	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27344324	27344516	27346920	27347049	27342844	27343086	27349468	27349840
2	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27346920	27347049	27349468	27349840	27344324	27344516	27351540	27351755
3	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27349468	27349840	27351540	27351755	27346920	27347049	27352432	27352580
4	"ENSMUSG00000026918.17"	"Brd3"	chr2	-	27352432	27352580	27353466	27353604	27349468	27349840	27353900	27354128
5	"ENSMUSG00000024191.16"	"Bnip1"	chr17	+	27005670	27005762	27008668	27008770	27002418	27002511	27009899	27010018
6	"ENSMUSG00000027304.10"	"Rtf1"	chr2	+	119522596	119522707	119531598	119531746	119505548	119505761	119535919	119536124
7	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125071046	125071124	125085509	125085656	125070284	125070431	125090584	125090768
8	"ENSMUSG00000030750.14"	"Nsmce1"	chr7	-	125071279	125071401	125085509	125085656	125070284	125070431	125090584	125090768
9	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52382489	52382942	52383188	52383340	52378579	52378697	52384666	52385009
10	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52382489	52382942	52383188	52383340	52378579	52378730	52384666	52385009
11	"ENSMUSG00000057132.17"	"Rpgrip1"	chr14	+	52383188	52383340	52384666	52385009	52382489	52382942	52386672	52387088
12	"ENSMUSG00000024870.7"	"Rab1b"	chr19	-	5150694	5150826	5154668	5154764	5149232	5150600	5154860	5154956
13	"ENSMUSG00000024870.7"	"Rab1b"	chr19	-	5150751	5150826	5154668	5154764	5150335	5150600	5154860	5154956
14	"ENSMUSG00000104713.5"	"Gbp6"	chr5	-	105436792	105436920	105438702	105438892	105428320	105428430	105441491	105441562
15	"ENSMUSG00000036241.4"	"Ube2r2"	chr4	+	41174040	41174127	41183244	41183342	41135742	41136246	41189151	41189286
16	"ENSMUSG00000117286.2"	"Gm1043"	chr5	+	37285348	37285402	37285934	37286000	37284720	37284822	37291580	37291649
17	"ENSMUSG00000032750.14"	"Gab3"	chrX	-	74048921	74048977	74068383	74068862	74047929	74048137	74069594	74069811
18	"ENSMUSG00000032750.14"	"Gab3"	chrX	-	74069594	74069811	74076776	74077080	74048921	74048977	74128273	74128363
19	"ENSMUSG00000020323.15"	"Prss57"	chr10	-	79621588	79621733	79623191	79623345	79620179	79620443	79624676	79624819
20	"ENSMUSG00000032561.16"	"Acpp"	chr9	-	104201841	104201928	104204079	104204175	104201250	104201403	104214741	104214906
21	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171105266	171105377	171105454	171105573	171105019	171105169	171105707	171105768
22	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171105707	171105768	171107442	171107575	171105266	171105377	171107713	171107829
23	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107442	171107575	171107713	171107829	171107003	171107148	171107961	171108096
24	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107713	171107829	171107961	171108096	171107003	171107148	171108247	171108342
25	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107713	171107829	171107961	171108096	171107442	171107575	171108247	171108342
26	"ENSMUSG00000062729.13"	"Ppox"	chr1	-	171107961	171108096	171108247	171108342	171107713	171107829	171108446	171108760
27	"ENSMUSG00000047213.15"	"Ythdf3"	chr3	+	16238085	16238110	16243641	16243727	16237375	16237684	16257989	16259588
28	"ENSMUSG00000047213.15"	"Ythdf3"	chr3	+	16243641	16243727	16257989	16259588	16238085	16238110	16268118	16269170
29	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116568507	116568575	116569919	116570023	116567297	116567481	116572036	116572296
30	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116568507	116568575	116571284	116571346	116567297	116567481	116572036	116572300
